,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,LR_binary,KNN_binary,SVM_binary,LDA_binary
Mean,0.5838853503184712,0.5768789808917197,0.6330573248407643,0.5885350318471338,0.6245859872611466,0.588343949044586,0.640828025477707,0.6257324840764331
STD,0.03504985061414899,0.03584187984078568,0.03614216141682161,0.03614216141682161,0.03591611252107211,0.03668540994747531,0.03739992664922863,0.03739992664922863
Max,0.6815286624203821,0.6496815286624203,0.7388535031847133,0.7388535031847133,0.7070063694267515,0.6751592356687898,0.7133757961783439,0.7133757961783439
Min,0.49044585987261147,0.4968152866242038,0.5477707006369427,0.5477707006369427,0.5222929936305732,0.5159235668789809,0.5477707006369427,0.5477707006369427
