,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary
Mean,0.6273885350318471,0.5780891719745224,0.6273885350318471,0.5294267515923567,0.6273885350318471,0.6273885350318471,0.6349044585987261,0.60828025477707,0.6301273885350318,0.608407643312102,0.6337579617834393,0.6295541401273885
STD,0.032333860245852365,0.033657102063172975,0.032333860245852365,0.03858926541054064,0.032333860245852365,0.032333860245852365,0.033327139132647524,0.03312714299094482,0.033501671032139836,0.03381775740121886,0.03441259276239515,0.03290867748783189
Max,0.6942675159235668,0.6687898089171974,0.6942675159235668,0.6305732484076433,0.6942675159235668,0.6942675159235668,0.7197452229299363,0.7070063694267515,0.7133757961783439,0.7070063694267515,0.7197452229299363,0.7006369426751592
Min,0.5477707006369427,0.4840764331210191,0.5477707006369427,0.4394904458598726,0.5477707006369427,0.5477707006369427,0.5477707006369427,0.5222929936305732,0.5477707006369427,0.535031847133758,0.5477707006369427,0.5477707006369427
