,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean,0.6354140127388535,0.6403184713375797,0.6286624203821656,0.5251592356687897,0.6478980891719744,0.6431847133757961,0.563312101910828,0.611656050955414,0.639108280254777,0.5187261146496814,0.6345859872611465,0.6343949044585987,0.7198726114649681,0.7248407643312101,0.6430573248407643,0.6507006369426752,0.7199363057324841,0.7380254777070064,0.6760509554140127,0.6548407643312102,0.7443312101910828,0.6486624203821656,0.7159872611464967,0.7243312101910828
STD,0.037499861386953576,0.03335847024399885,0.03582200940290156,0.034692917479892976,0.0351541582228708,0.03609818876928898,0.032718276514477534,0.03127453396138794,0.03508646581765353,0.03482067213712945,0.0303956492399448,0.031073403611848318,0.028198366551656685,0.03272670720679017,0.03989844709473314,0.0375063519847833,0.038790331855113554,0.03505679482268581,0.03529168259174671,0.037321742877027594,0.027996800614695505,0.03544882127481853,0.03351184165601373,0.031347417025660955
Max,0.7643312101910829,0.732484076433121,0.732484076433121,0.6050955414012739,0.7515923566878981,0.7579617834394905,0.6560509554140127,0.6878980891719745,0.7197452229299363,0.6050955414012739,0.7070063694267515,0.7133757961783439,0.7961783439490446,0.8152866242038217,0.7388535031847133,0.7388535031847133,0.8280254777070064,0.8280254777070064,0.732484076433121,0.732484076433121,0.8152866242038217,0.7197452229299363,0.7834394904458599,0.7898089171974523
Min,0.5605095541401274,0.5732484076433121,0.535031847133758,0.45222929936305734,0.5605095541401274,0.5668789808917197,0.47770700636942676,0.5286624203821656,0.554140127388535,0.445859872611465,0.5414012738853503,0.5732484076433121,0.6624203821656051,0.6496815286624203,0.5286624203821656,0.5222929936305732,0.6178343949044586,0.6496815286624203,0.5796178343949044,0.535031847133758,0.6751592356687898,0.5286624203821656,0.643312101910828,0.6624203821656051
