,LR_multiclass_vstrict,KNN_multiclass_vstrict,SVM_multiclass_vstrict,LDA_multiclass_vstrict,Ensemble_multiclass_vstrict,Ensemble2_multiclass_vstrict,LR_multiclass_vstrict_norm,KNN_multiclass_vstrict_norm,SVM_multiclass_vstrict_norm,LDA_multiclass_vstrict_norm,Ensemble_multiclass_vstrict_norm,Ensemble2_multiclass_vstrict_norm,LR_binary_vstrict,KNN_binary_vstrict,SVM_binary_vstrict,LDA_binary_vstrict,Ensemble_binary_vstrict,Ensemble2_binary_vstrict,LR_binary_vstrict_norm,KNN_binary_vstrict_norm,SVM_binary_vstrict_norm,LDA_binary_vstrict_norm,Ensemble_binary_vstrict_norm,Ensemble2_binary_vstrict_norm
Mean_train,0.6177070063694267,0.6359872611464967,0.6322929936305732,0.601592356687898,0.6371337579617833,0.6342675159235669,0.5995541401273886,0.6276433121019108,0.6376433121019108,0.6022929936305732,0.635796178343949,0.6357324840764332,0.7012101910828025,0.6671337579617835,0.7207643312101909,0.675859872611465,0.7105095541401272,0.7187261146496816,0.681528662420382,0.6770063694267516,0.7078980891719745,0.6779617834394904,0.6976433121019108,0.7106369426751591
STD_train,0.032239368030218415,0.028476039452734792,0.03247601998259164,0.033260058480425174,0.03247102273000561,0.03282795379995091,0.03262309456252813,0.03280619607440408,0.03475740794120514,0.03172358199495211,0.034055651738161836,0.03498775453298389,0.03346338242626146,0.03357866095695503,0.03123903515696729,0.035059572120979716,0.033563615548585564,0.03322765782466413,0.035929438920179496,0.03259373273883279,0.03365589666160384,0.03651542971909664,0.03574213342015265,0.03423239504418698
Max_train,0.6878980891719745,0.6942675159235668,0.732484076433121,0.6751592356687898,0.7261146496815286,0.7197452229299363,0.7070063694267515,0.7261146496815286,0.7452229299363057,0.6942675159235668,0.7452229299363057,0.7452229299363057,0.7643312101910829,0.7515923566878981,0.7898089171974523,0.7388535031847133,0.7834394904458599,0.7961783439490446,0.7770700636942676,0.7707006369426752,0.802547770700637,0.7643312101910829,0.7707006369426752,0.8152866242038217
Min_train,0.5031847133757962,0.5668789808917197,0.5414012738853503,0.47770700636942676,0.554140127388535,0.554140127388535,0.5286624203821656,0.5605095541401274,0.5477707006369427,0.5159235668789809,0.5477707006369427,0.554140127388535,0.6178343949044586,0.5923566878980892,0.6624203821656051,0.5796178343949044,0.6242038216560509,0.643312101910828,0.5987261146496815,0.5987261146496815,0.6178343949044586,0.5923566878980892,0.6050955414012739,0.6242038216560509
