,Binary,Binary Normalized,Multiclass,Multiclass Normalized
LR,0.6687898089171974,0.6305732484076433,0.6369426751592356,0.6305732484076433
KNN,0.6178343949044586,0.6369426751592356,0.6242038216560509,0.6369426751592356
SVM,0.6751592356687898,0.6624203821656051,0.643312101910828,0.6624203821656051
LDA,0.6687898089171974,0.6050955414012739,0.6050955414012739,0.6050955414012739
Ensemble,0.6815286624203821,0.6624203821656051,0.6496815286624203,0.6624203821656051
Ensemble Less,0.6751592356687898,0.6687898089171974,0.6305732484076433,0.6687898089171974
