,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean,0.6476373626373626,0.644835164835165,0.6372527472527473,0.6366483516483517,0.6450000000000001,0.645934065934066,0.6301098901098902,0.6453846153846153,0.631978021978022,0.6298351648351648,0.6331868131868132,0.6343956043956045,0.697967032967033,0.7076373626373628,0.7063186813186814,0.697857142857143,0.6943406593406594,0.7046703296703298,0.6960439560439562,0.7142307692307693,0.7115384615384616,0.6960439560439562,0.6926923076923077,0.7090659340659342
STD,0.02796973151341025,0.030813547363506402,0.02709610245523703,0.028366285939435673,0.02716192549942163,0.02785795564195637,0.028326080983879953,0.030078791993872544,0.02855007655245126,0.02836628593943568,0.027484832409146495,0.0286602592045884,0.02916185174833072,0.028952394623760327,0.03216398291388108,0.029542817166439875,0.029132850535373067,0.0335423697548621,0.02915589849583415,0.0279787967227832,0.03110588979058937,0.029041775206777063,0.02873216620293707,0.031182226350733568
Max,0.7142857142857143,0.7197802197802198,0.6923076923076923,0.6923076923076923,0.7032967032967034,0.6923076923076923,0.6868131868131868,0.7142857142857143,0.6978021978021978,0.6868131868131868,0.6868131868131868,0.6978021978021978,0.7582417582417582,0.7857142857142857,0.7802197802197802,0.7582417582417582,0.7582417582417582,0.7912087912087912,0.7582417582417582,0.7857142857142857,0.7912087912087912,0.7582417582417582,0.7527472527472527,0.7692307692307693
Min,0.5659340659340659,0.5604395604395604,0.5604395604395604,0.5494505494505495,0.5659340659340659,0.5604395604395604,0.5439560439560439,0.5769230769230769,0.5659340659340659,0.5439560439560439,0.5604395604395604,0.5714285714285714,0.6263736263736264,0.6428571428571429,0.6153846153846154,0.6263736263736264,0.6318681318681318,0.6208791208791209,0.6208791208791209,0.6483516483516484,0.6373626373626373,0.6263736263736264,0.6208791208791209,0.6263736263736264
