,Binary,Binary Normalized,Multiclass,Multiclass Normalized
LR,0.7006369426751592,0.5796178343949044,0.6815286624203821,0.5796178343949044
KNN,0.7070063694267515,0.6369426751592356,0.6560509554140127,0.6369426751592356
SVM,0.6878980891719745,0.6815286624203821,0.6624203821656051,0.6815286624203821
LDA,0.6496815286624203,0.5859872611464968,0.5859872611464968,0.5859872611464968
Ensemble,0.7452229299363057,0.6815286624203821,0.6815286624203821,0.6815286624203821
Ensemble Less,0.7579617834394905,0.6815286624203821,0.6751592356687898,0.6815286624203821
