,LR_multiclass_strict,KNN_multiclass_strict,SVM_multiclass_strict,LDA_multiclass_strict,Ensemble_multiclass_strict,Ensemble2_multiclass_strict,LR_multiclass_strict_norm,KNN_multiclass_strict_norm,SVM_multiclass_strict_norm,LDA_multiclass_strict_norm,Ensemble_multiclass_strict_norm,Ensemble2_multiclass_strict_norm,LR_binary_strict,KNN_binary_strict,SVM_binary_strict,LDA_binary_strict,Ensemble_binary_strict,Ensemble2_binary_strict,LR_binary_strict_norm,KNN_binary_strict_norm,SVM_binary_strict_norm,LDA_binary_strict_norm,Ensemble_binary_strict_norm,Ensemble2_binary_strict_norm
Mean,0.6145535714285715,0.5556249999999999,0.5682142857142858,0.42973214285714284,0.5873214285714287,0.5850892857142856,0.5854464285714286,0.5700892857142856,0.6103571428571428,0.574375,0.6045535714285714,0.608125,0.7381249999999998,0.6084821428571429,0.6374107142857143,0.7055357142857143,0.6951785714285714,0.6909821428571429,0.7159821428571429,0.6775,0.753125,0.704017857142857,0.7252678571428571,0.734732142857143
STD,0.0391241605178244,0.03448451941207291,0.03808054031943885,0.050565283499730954,0.03845675745402296,0.036909789884063474,0.040862336551761046,0.04055134610488741,0.04356776916717313,0.03956989343979504,0.04356365196995293,0.045943465009082814,0.03546913630329953,0.03759289090278336,0.057572256618469084,0.03578074174177832,0.04726276687470869,0.04444411117186554,0.04192998217996575,0.04060841498195834,0.03788861141556919,0.04159938232346577,0.04181880176574227,0.038678237533184855
Max,0.7142857142857143,0.6428571428571429,0.6785714285714286,0.5714285714285714,0.6964285714285714,0.6875,0.6964285714285714,0.6785714285714286,0.7321428571428571,0.6607142857142857,0.7053571428571429,0.7142857142857143,0.8214285714285714,0.6964285714285714,0.7410714285714286,0.7946428571428571,0.7946428571428571,0.7946428571428571,0.8035714285714286,0.7857142857142857,0.8392857142857143,0.7767857142857143,0.8125,0.8303571428571429
Min,0.5089285714285714,0.4642857142857143,0.4642857142857143,0.29464285714285715,0.48214285714285715,0.48214285714285715,0.49107142857142855,0.4642857142857143,0.49107142857142855,0.49107142857142855,0.4732142857142857,0.4732142857142857,0.625,0.48214285714285715,0.4642857142857143,0.6160714285714286,0.5446428571428571,0.5357142857142857,0.5714285714285714,0.5892857142857143,0.6607142857142857,0.5803571428571429,0.6160714285714286,0.6428571428571429
