,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean,0.6435164835164835,0.6406043956043957,0.6452197802197803,0.6706043956043958,0.6465934065934067,0.6463186813186814,0.6665384615384616,0.6547252747252748,0.6648351648351649,0.6684065934065933,0.6746153846153846,0.6717032967032968,0.7214285714285715,0.7095054945054943,0.6675274725274727,0.722032967032967,0.7320879120879121,0.7317032967032966,0.717857142857143,0.7285164835164837,0.7372527472527471,0.7199450549450552,0.739120879120879,0.7373076923076922
STD,0.030918788802707747,0.025819440762995832,0.030771732629840426,0.029856710088391494,0.03138974009318938,0.031175254771746822,0.029738373340371,0.034433676222638945,0.030984334461256445,0.0312112578347322,0.032165907016684814,0.031249924525932282,0.029675416739320386,0.02807746069462274,0.03140526877603983,0.03067189273955135,0.026202743099233046,0.026362806846630532,0.029551808454386812,0.025760911518246696,0.027771776780704895,0.0289749088827752,0.028289820991702,0.02791614360082428
Max,0.7527472527472527,0.7032967032967034,0.7527472527472527,0.7747252747252747,0.7527472527472527,0.7527472527472527,0.7472527472527473,0.7472527472527473,0.7307692307692307,0.7582417582417582,0.7472527472527473,0.7362637362637363,0.7802197802197802,0.8021978021978022,0.7252747252747253,0.7857142857142857,0.7912087912087912,0.7857142857142857,0.8021978021978022,0.7857142857142857,0.7857142857142857,0.7967032967032966,0.8021978021978022,0.7912087912087912
Min,0.5714285714285714,0.5879120879120879,0.5659340659340659,0.5989010989010989,0.5659340659340659,0.5659340659340659,0.5824175824175825,0.5769230769230769,0.5989010989010989,0.6098901098901099,0.6153846153846154,0.6098901098901099,0.6428571428571429,0.6538461538461539,0.5769230769230769,0.6373626373626373,0.6758241758241759,0.6703296703296703,0.6428571428571429,0.6538461538461539,0.6703296703296703,0.6538461538461539,0.6648351648351648,0.6538461538461539
