,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean,0.5669642857142857,0.5470535714285715,0.5641964285714285,0.5853571428571428,0.5812499999999999,0.5744642857142856,0.5908035714285714,0.56875,0.5983035714285715,0.5867857142857144,0.6050000000000001,0.6025892857142857,0.6985714285714287,0.6095535714285714,0.6329464285714286,0.6701785714285714,0.681607142857143,0.6751785714285714,0.6707142857142856,0.6358928571428571,0.6633928571428572,0.670982142857143,0.6745535714285715,0.670982142857143
STD,0.04102287502735765,0.03974678702840813,0.036129174958242055,0.04235795590643426,0.04031722108884156,0.03771663615511255,0.041688971495921504,0.04031722108884156,0.044669545593966235,0.042315777199526894,0.043081999413553076,0.04258647789486466,0.03655527684625193,0.03694001532407448,0.05426478391147599,0.041492791972995574,0.04052863374283945,0.03798118156483846,0.04302941566236867,0.03717074845649904,0.040671578478322756,0.041980904763903294,0.040942635797178564,0.04017609119328844
Max,0.6696428571428571,0.6339285714285714,0.6339285714285714,0.7053571428571429,0.6964285714285714,0.6696428571428571,0.7053571428571429,0.6875,0.7321428571428571,0.7232142857142857,0.7321428571428571,0.7232142857142857,0.7767857142857143,0.7321428571428571,0.7321428571428571,0.7767857142857143,0.7767857142857143,0.7678571428571429,0.7767857142857143,0.7321428571428571,0.7589285714285714,0.7678571428571429,0.7767857142857143,0.75
Min,0.4732142857142857,0.4375,0.49107142857142855,0.49107142857142855,0.5,0.49107142857142855,0.5089285714285714,0.4642857142857143,0.49107142857142855,0.5089285714285714,0.4732142857142857,0.48214285714285715,0.5982142857142857,0.5357142857142857,0.4642857142857143,0.5625,0.5892857142857143,0.5714285714285714,0.5714285714285714,0.5625,0.5803571428571429,0.5535714285714286,0.5892857142857143,0.5803571428571429
