,LR_multiclass_strict,KNN_multiclass_strict,SVM_multiclass_strict,LDA_multiclass_strict,Ensemble_multiclass_strict,Ensemble2_multiclass_strict,LR_multiclass_strict_norm,KNN_multiclass_strict_norm,SVM_multiclass_strict_norm,LDA_multiclass_strict_norm,Ensemble_multiclass_strict_norm,Ensemble2_multiclass_strict_norm,LR_binary_strict,KNN_binary_strict,SVM_binary_strict,LDA_binary_strict,Ensemble_binary_strict,Ensemble2_binary_strict,LR_binary_strict_norm,KNN_binary_strict_norm,SVM_binary_strict_norm,LDA_binary_strict_norm,Ensemble_binary_strict_norm,Ensemble2_binary_strict_norm
Mean,0.5913375796178343,0.6045859872611464,0.6315286624203821,0.5000636942675158,0.6266878980891719,0.6257324840764331,0.6009554140127389,0.5936942675159235,0.6307006369426752,0.6031210191082802,0.6291082802547769,0.6305732484076432,0.698343949044586,0.6371974522292992,0.7087261146496813,0.678343949044586,0.7012101910828027,0.7065605095541402,0.6801273885350319,0.6321019108280255,0.698343949044586,0.6743949044585987,0.689044585987261,0.6938853503184713
STD,0.031082802547770693,0.03410683803382161,0.02897039076219785,0.03240899278126159,0.03088869904464307,0.03049512311126717,0.03666018725244811,0.0339830854299393,0.03641151200958023,0.03466156362398774,0.03759424307871846,0.03759580780477376,0.033164107200556396,0.03445288813837084,0.028667444711792934,0.03425899072321071,0.031360550330035965,0.029080531450169856,0.032309760845106644,0.03730461833431522,0.0339499408349568,0.0336590306158942,0.03480971846561185,0.032848215072938614
Max,0.6878980891719745,0.6815286624203821,0.6878980891719745,0.5859872611464968,0.7197452229299363,0.7261146496815286,0.6942675159235668,0.6624203821656051,0.732484076433121,0.7006369426751592,0.7133757961783439,0.7070063694267515,0.7834394904458599,0.7070063694267515,0.7834394904458599,0.7579617834394905,0.7834394904458599,0.7834394904458599,0.7643312101910829,0.7197452229299363,0.7770700636942676,0.7515923566878981,0.7770700636942676,0.7770700636942676
Min,0.5159235668789809,0.5286624203821656,0.5668789808917197,0.4140127388535032,0.5605095541401274,0.5605095541401274,0.5222929936305732,0.5159235668789809,0.5414012738853503,0.5222929936305732,0.535031847133758,0.535031847133758,0.5987261146496815,0.5159235668789809,0.643312101910828,0.5923566878980892,0.6369426751592356,0.6496815286624203,0.5796178343949044,0.5414012738853503,0.5859872611464968,0.5668789808917197,0.5732484076433121,0.5732484076433121
