,Binary,Binary Normalized,Multiclass,Multiclass Normalized
LR,0.7589285714285714,0.7142857142857143,0.6517857142857143,0.6071428571428571
KNN,0.625,0.7321428571428571,0.5892857142857143,0.5803571428571429
SVM,0.6696428571428571,0.7857142857142857,0.5982142857142857,0.6517857142857143
LDA,0.5892857142857143,0.5892857142857143,0.45535714285714285,0.45535714285714285
Ensemble,0.6785714285714286,0.7410714285714286,0.6071428571428571,0.6607142857142857
Ensemble Less,0.7321428571428571,0.7767857142857143,0.5982142857142857,0.6339285714285714
