,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean,0.5886624203821655,0.6001273885350318,0.6295541401273884,0.49471337579617836,0.6257961783439491,0.6250955414012739,0.5391719745222929,0.5939490445859872,0.6258598726114648,0.5005732484076433,0.6188535031847133,0.6214649681528662,0.6834394904458598,0.6426751592356688,0.716624203821656,0.6203184713375794,0.6943949044585987,0.7049681528662418,0.6288535031847133,0.6348407643312101,0.7050318471337579,0.6222929936305732,0.6757324840764332,0.6858598726114649
STD,0.031101852781792633,0.03693806252776123,0.029667036728979718,0.03683329954061794,0.030511814604504483,0.03271455640070561,0.04043833622786381,0.03470460942309453,0.03430774519226955,0.0372499302624309,0.035414470968029334,0.035202306767030914,0.030299999725519222,0.03124916324085625,0.03206922560084918,0.04019199126836227,0.03418169349089469,0.030385303420601667,0.03746452200879166,0.034111298313666105,0.03304369955938985,0.03588989703689376,0.031797349623208696,0.030385303420601657
Max,0.6560509554140127,0.6942675159235668,0.6878980891719745,0.5796178343949044,0.7006369426751592,0.6878980891719745,0.6815286624203821,0.6624203821656051,0.7006369426751592,0.5859872611464968,0.7133757961783439,0.7133757961783439,0.7515923566878981,0.732484076433121,0.7834394904458599,0.7133757961783439,0.7770700636942676,0.7770700636942676,0.7197452229299363,0.732484076433121,0.802547770700637,0.6878980891719745,0.7579617834394905,0.7643312101910829
Min,0.5222929936305732,0.49044585987261147,0.535031847133758,0.40764331210191085,0.554140127388535,0.5286624203821656,0.4140127388535032,0.5031847133757962,0.5414012738853503,0.42038216560509556,0.5286624203821656,0.5286624203821656,0.5987261146496815,0.5796178343949044,0.6305732484076433,0.5222929936305732,0.5732484076433121,0.6178343949044586,0.535031847133758,0.5668789808917197,0.6305732484076433,0.5159235668789809,0.5796178343949044,0.6242038216560509
