,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean_train,0.5814012738853502,0.594140127388535,0.6249044585987261,0.3915923566878981,0.6163694267515925,0.621656050955414,0.5635668789808918,0.5996178343949043,0.6238216560509554,0.3914649681528662,0.6168152866242038,0.6194267515923567,0.6601273885350318,0.6352866242038216,0.6929936305732483,0.532547770700637,0.6737579617834392,0.6847133757961784,0.6426751592356688,0.6246496815286624,0.695859872611465,0.5462420382165606,0.6731847133757962,0.6837579617834393
STD_train,0.03757508339263084,0.03501539857040183,0.03341242459394612,0.04076910800038114,0.0354961129626587,0.03570289543246246,0.035089472003416035,0.04015285815900852,0.03490794533702963,0.03801880896190385,0.035069117406331354,0.035888484021005626,0.034199966571584604,0.0384664863858293,0.028256143965374313,0.03540501879102055,0.03404612021591687,0.03262116694853981,0.03456551223239524,0.0340303277596962,0.033984040470402925,0.034666537675912684,0.03413079775554975,0.035238245481038495
Max_train,0.6624203821656051,0.6815286624203821,0.6942675159235668,0.4968152866242038,0.6942675159235668,0.7070063694267515,0.6496815286624203,0.6942675159235668,0.7006369426751592,0.4840764331210191,0.7006369426751592,0.6878980891719745,0.7388535031847133,0.7388535031847133,0.7643312101910829,0.6369426751592356,0.7707006369426752,0.7707006369426752,0.7261146496815286,0.7133757961783439,0.7643312101910829,0.6369426751592356,0.732484076433121,0.7707006369426752
Min_train,0.4840764331210191,0.5095541401273885,0.554140127388535,0.29936305732484075,0.535031847133758,0.5477707006369427,0.4840764331210191,0.4713375796178344,0.5414012738853503,0.28662420382165604,0.535031847133758,0.5286624203821656,0.5859872611464968,0.5414012738853503,0.6305732484076433,0.45222929936305734,0.5859872611464968,0.6050955414012739,0.554140127388535,0.5286624203821656,0.6050955414012739,0.46496815286624205,0.5732484076433121,0.5732484076433121
