,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary
Mean,0.5265,0.48349999999999993,0.5269999999999999,0.4075,0.5235,0.5225,0.4985,0.46000000000000013,0.5439999999999999,0.5125,0.5155,0.512
STD,0.10379185902564804,0.09722525392098495,0.1056929515152264,0.10353139620424331,0.10258045622826992,0.10182705927208151,0.09936171294819751,0.1004987562112089,0.08952094726934026,0.11691342951089922,0.08505733360504548,0.08249848483457135
Max,0.8,0.7,0.8,0.7,0.75,0.75,0.7,0.65,0.75,0.85,0.75,0.75
Min,0.3,0.25,0.3,0.2,0.3,0.3,0.25,0.2,0.3,0.25,0.15,0.3
