,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_scaled,KNN_multiclass_scaled,SVM_multiclass_scaled,LDA_multiclass_scaled,Ensemble_multiclass_scaled,Ensemble2_multiclass_scaled,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_scaled,KNN_binary_scaled,SVM_binary_scaled,LDA_binary_scaled,Ensemble_binary_scaled,Ensemble2_binary_norm,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean,0.5695348837209303,0.6286046511627909,0.5579069767441861,0.5858139534883722,0.6072093023255816,0.598372093023256,0.6269767441860465,0.6120930232558139,0.6241860465116279,0.594186046511628,0.6367441860465116,0.63,0.596279069767442,0.6053488372093024,0.617906976744186,0.5893023255813954,0.6325581395348838,0.6269767441860465,0.6881395348837209,0.7206976744186047,0.6579069767441861,0.670232558139535,0.7216279069767443,0.7313953488372091,0.6574418604651163,0.6818604651162791,0.6416279069767442,0.6616279069767443,0.6455813953488372,0.6430232558139535,0.6748837209302326,0.7095348837209301,0.7148837209302326,0.6672093023255815,0.691860465116279,0.7113953488372092
STD,0.06823867698186861,0.07018903626100963,0.06910499454031122,0.06533973287568667,0.08168685342645401,0.07760998580879752,0.06325581395348838,0.06410173093716016,0.06525897984993807,0.05859126831322848,0.06592356719516984,0.0632707745646248,0.06490997218388656,0.06556778681172469,0.06276959162934953,0.06471805139458016,0.06945667220031665,0.06739533278764635,0.05591995747612798,0.06548855377881774,0.07729156447080787,0.06165028115131102,0.0637272955571355,0.06711025130468873,0.06928944784364366,0.060722172726949165,0.06828621406131309,0.06580820091549312,0.06660426139940524,0.07025988995358508,0.062486775236864585,0.0591534839835134,0.06043111745395222,0.0647577338137816,0.06629946646580667,0.06352669428646454
Max,0.7674418604651163,0.813953488372093,0.7906976744186046,0.7209302325581395,0.8837209302325582,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.813953488372093,0.7209302325581395,0.8372093023255814,0.813953488372093,0.7441860465116279,0.7906976744186046,0.813953488372093,0.7209302325581395,0.813953488372093,0.813953488372093,0.813953488372093,0.8604651162790697,0.8604651162790697,0.8372093023255814,0.8604651162790697,0.9069767441860465,0.813953488372093,0.813953488372093,0.7906976744186046,0.813953488372093,0.7906976744186046,0.813953488372093,0.8372093023255814,0.8604651162790697,0.8372093023255814,0.8372093023255814,0.8604651162790697,0.8604651162790697
Min,0.3953488372093023,0.46511627906976744,0.3953488372093023,0.37209302325581395,0.4418604651162791,0.4418604651162791,0.46511627906976744,0.4418604651162791,0.46511627906976744,0.46511627906976744,0.46511627906976744,0.4418604651162791,0.4418604651162791,0.46511627906976744,0.46511627906976744,0.37209302325581395,0.46511627906976744,0.46511627906976744,0.5348837209302325,0.5813953488372093,0.37209302325581395,0.5116279069767442,0.5348837209302325,0.5581395348837209,0.4186046511627907,0.5116279069767442,0.4186046511627907,0.4418604651162791,0.4186046511627907,0.4186046511627907,0.5116279069767442,0.5581395348837209,0.5581395348837209,0.4883720930232558,0.5116279069767442,0.5581395348837209
