,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean,0.580764331210191,0.5788535031847133,0.6322929936305733,0.5875796178343949,0.6277707006369426,0.6266242038216561,0.5726751592356688,0.5722929936305732,0.6285987261146496,0.5868152866242038,0.622484076433121,0.6194267515923567,0.633312101910828,0.589108280254777,0.644904458598726,0.6370700636942674,0.6452866242038217,0.6445222929936305,0.6231847133757961,0.5871337579617835,0.6476433121019108,0.629108280254777,0.6461146496815285,0.643248407643312
STD,0.03567311165809633,0.03751240886286123,0.034522704301025935,0.0360126171875585,0.03806040282838535,0.03799062726716342,0.03399263462711967,0.029988773644272465,0.03533390334433312,0.03534492413079759,0.035882605277706356,0.03507669393460047,0.038335854151140346,0.0322332642761414,0.03426935093232808,0.03258981168077615,0.03484833229791346,0.033312710837074426,0.034415186282481226,0.03364818106901342,0.03427532882780571,0.03432234620807774,0.028030109634598854,0.02782929306535369
Max,0.6815286624203821,0.6942675159235668,0.7261146496815286,0.6878980891719745,0.732484076433121,0.732484076433121,0.6560509554140127,0.6496815286624203,0.6942675159235668,0.6751592356687898,0.6878980891719745,0.6942675159235668,0.7388535031847133,0.6751592356687898,0.7515923566878981,0.7070063694267515,0.7452229299363057,0.7579617834394905,0.7006369426751592,0.6751592356687898,0.7070063694267515,0.7197452229299363,0.7070063694267515,0.7006369426751592
Min,0.4840764331210191,0.4968152866242038,0.535031847133758,0.47770700636942676,0.535031847133758,0.5286624203821656,0.4968152866242038,0.5031847133757962,0.535031847133758,0.4840764331210191,0.5414012738853503,0.535031847133758,0.554140127388535,0.5031847133757962,0.5668789808917197,0.5286624203821656,0.5668789808917197,0.5668789808917197,0.5477707006369427,0.5031847133757962,0.554140127388535,0.5286624203821656,0.5605095541401274,0.5732484076433121
