,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean,0.6338216560509554,0.5880891719745223,0.6335668789808917,0.6123566878980892,0.6338216560509554,0.6336305732484075,0.6075159235668789,0.5885987261146496,0.6266242038216561,0.6063057324840765,0.6254140127388536,0.6260509554140128,0.6310828025477706,0.6340127388535032,0.6277070063694267,0.6314649681528662,0.6298726114649681,0.6271974522292993,0.6303821656050956,0.61828025477707,0.6261783439490444,0.6294904458598726,0.6322929936305732,0.6312101910828025
STD,0.03344397907393225,0.03178407770315157,0.033309787889571514,0.03270215296508887,0.03344397907393225,0.03334661047056284,0.03632003294178305,0.033511841656013695,0.03436870906221159,0.036408336409675265,0.03360372166804754,0.03399502150729472,0.032883518887653465,0.03344306926557283,0.03141586978770818,0.03399173950384327,0.032774955930046326,0.03150716631932824,0.034187330710050166,0.03620227745174901,0.03356748328539055,0.03324395362703876,0.0329473028902072,0.03431814979114444
Max,0.7070063694267515,0.6815286624203821,0.7070063694267515,0.6942675159235668,0.7070063694267515,0.7070063694267515,0.6751592356687898,0.6815286624203821,0.7133757961783439,0.6751592356687898,0.7006369426751592,0.6942675159235668,0.7133757961783439,0.7197452229299363,0.7006369426751592,0.7070063694267515,0.7006369426751592,0.7006369426751592,0.7261146496815286,0.7261146496815286,0.6942675159235668,0.7006369426751592,0.7006369426751592,0.7133757961783439
Min,0.5414012738853503,0.5159235668789809,0.5414012738853503,0.5159235668789809,0.5414012738853503,0.5414012738853503,0.5222929936305732,0.5159235668789809,0.5414012738853503,0.5286624203821656,0.5414012738853503,0.5414012738853503,0.5414012738853503,0.535031847133758,0.5414012738853503,0.5605095541401274,0.5414012738853503,0.535031847133758,0.535031847133758,0.5414012738853503,0.5414012738853503,0.5477707006369427,0.5477707006369427,0.5286624203821656
