,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_multiclass_norm,KNN_multiclass_norm,SVM_multiclass_norm,LDA_multiclass_norm,Ensemble_multiclass_norm,Ensemble2_multiclass_norm,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary,LR_binary_norm,KNN_binary_norm,SVM_binary_norm,LDA_binary_norm,Ensemble_binary_norm,Ensemble2_binary_norm
Mean,0.6309554140127388,0.6442038216560511,0.6305732484076433,0.6143949044585986,0.6306369426751592,0.6305732484076433,0.6229936305732484,0.6293630573248407,0.6312101910828024,0.6159235668789809,0.6326751592356689,0.6373885350318471,0.6947770700636944,0.706687898089172,0.6492356687898089,0.7043949044585986,0.6817834394904458,0.682547770700637,0.7021656050955414,0.6712738853503185,0.6970700636942673,0.704904458598726,0.7025477707006371,0.7034394904458597
STD,0.033556906385496195,0.03580524399562316,0.03324328242216531,0.03163521851014454,0.03332245214369492,0.03343797388129092,0.032311204804857045,0.038938978757748856,0.03416412313860862,0.034776136801831066,0.0360090120841424,0.03650359537293718,0.031003867611778983,0.03335749729317726,0.040876190078470494,0.030561237024818878,0.03414535562210864,0.03200876183345612,0.032366716937135484,0.03440545957409972,0.030894280542622412,0.032478518320549474,0.03312714299094484,0.03235668789808918
Max,0.7133757961783439,0.7133757961783439,0.7070063694267515,0.6687898089171974,0.7070063694267515,0.7070063694267515,0.7070063694267515,0.7133757961783439,0.7070063694267515,0.7261146496815286,0.7197452229299363,0.7070063694267515,0.7707006369426752,0.7898089171974523,0.732484076433121,0.7770700636942676,0.7515923566878981,0.7579617834394905,0.7707006369426752,0.7452229299363057,0.7707006369426752,0.7770700636942676,0.7770700636942676,0.7707006369426752
Min,0.5414012738853503,0.5414012738853503,0.5477707006369427,0.535031847133758,0.5477707006369427,0.5414012738853503,0.535031847133758,0.5414012738853503,0.5414012738853503,0.535031847133758,0.535031847133758,0.535031847133758,0.6305732484076433,0.5987261146496815,0.5414012738853503,0.6178343949044586,0.5859872611464968,0.5987261146496815,0.5668789808917197,0.5987261146496815,0.6178343949044586,0.5987261146496815,0.5987261146496815,0.6114649681528662
